date,store_id,item_id,sales,price,promo,weekday,month
2021-01-01,store_1,item_1,36,21.3,0,4,1
2021-01-02,store_1,item_1,36,21.3,0,5,1
2021-01-03,store_1,item_1,35,21.3,0,6,1
2021-01-04,store_1,item_1,41,21.3,0,0,1
2021-01-05,store_1,item_1,53,21.3,0,1,1
2021-01-06,store_1,item_1,81,17.04,1,2,1
2021-01-07,store_1,item_1,45,21.3,0,3,1
2021-01-08,store_1,item_1,34,21.3,0,4,1
2021-01-09,store_1,item_1,38,21.3,0,5,1
2021-01-10,store_1,item_1,35,21.3,0,6,1
2021-01-11,store_1,item_1,46,21.3,0,0,1
2021-01-12,store_1,item_1,45,21.3,0,1,1
2021-01-13,store_1,item_1,82,17.04,1,2,1
2021-01-14,store_1,item_1,45,21.3,0,3,1
2021-01-15,store_1,item_1,43,21.3,0,4,1
2021-01-16,store_1,item_1,36,21.3,0,5,1
2021-01-17,store_1,item_1,54,17.04,1,6,1
2021-01-18,store_1,item_1,44,21.3,0,0,1
2021-01-19,store_1,item_1,55,21.3,0,1,1
2021-01-20,store_1,item_1,55,21.3,0,2,1
2021-01-21,store_1,item_1,52,21.3,0,3,1
2021-01-22,store_1,item_1,48,21.3,0,4,1
2021-01-23,store_1,item_1,33,21.3,0,5,1
2021-01-24,store_1,item_1,44,21.3,0,6,1
2021-01-25,store_1,item_1,47,21.3,0,0,1
2021-01-26,store_1,item_1,52,21.3,0,1,1
2021-01-27,store_1,item_1,53,21.3,0,2,1
2021-01-28,store_1,item_1,51,21.3,0,3,1
2021-01-29,store_1,item_1,46,21.3,0,4,1
2021-01-30,store_1,item_1,38,21.3,0,5,1
2021-01-31,store_1,item_1,45,21.3,0,6,1
2021-02-01,store_1,item_1,44,21.3,0,0,2
2021-02-02,store_1,item_1,56,21.3,0,1,2
2021-02-03,store_1,item_1,54,21.3,0,2,2
2021-02-04,store_1,item_1,54,21.3,0,3,2
2021-02-05,store_1,item_1,47,21.3,0,4,2
2021-02-06,store_1,item_1,38,21.3,0,5,2
2021-02-07,store_1,item_1,34,21.3,0,6,2
2021-02-08,store_1,item_1,75,17.04,1,0,2
2021-02-09,store_1,item_1,59,21.3,0,1,2
2021-02-10,store_1,item_1,61,21.3,0,2,2
2021-02-11,store_1,item_1,58,21.3,0,3,2
2021-02-12,store_1,item_1,43,21.3,0,4,2
2021-02-13,store_1,item_1,43,21.3,0,5,2
2021-02-14,store_1,item_1,46,21.3,0,6,2
2021-02-15,store_1,item_1,45,21.3,0,0,2
2021-02-16,store_1,item_1,60,21.3,0,1,2
2021-02-17,store_1,item_1,60,21.3,0,2,2
2021-02-18,store_1,item_1,55,21.3,0,3,2
2021-02-19,store_1,item_1,48,21.3,0,4,2
2021-02-20,store_1,item_1,40,21.3,0,5,2
2021-02-21,store_1,item_1,42,21.3,0,6,2
2021-02-22,store_1,item_1,52,21.3,0,0,2
2021-02-23,store_1,item_1,57,21.3,0,1,2
2021-02-24,store_1,item_1,59,21.3,0,2,2
2021-02-25,store_1,item_1,59,21.3,0,3,2
2021-02-26,store_1,item_1,44,21.3,0,4,2
2021-02-27,store_1,item_1,44,21.3,0,5,2
2021-02-28,store_1,item_1,46,21.3,0,6,2
2021-03-01,store_1,item_1,48,21.3,0,0,3
2021-03-02,store_1,item_1,59,21.3,0,1,3
2021-03-03,store_1,item_1,67,21.3,0,2,3
2021-03-04,store_1,item_1,55,21.3,0,3,3
2021-03-05,store_1,item_1,47,21.3,0,4,3
2021-03-06,store_1,item_1,44,21.3,0,5,3
2021-03-07,store_1,item_1,47,21.3,0,6,3
2021-03-08,store_1,item_1,53,21.3,0,0,3
2021-03-09,store_1,item_1,60,21.3,0,1,3
2021-03-10,store_1,item_1,68,21.3,0,2,3
2021-03-11,store_1,item_1,64,21.3,0,3,3
2021-03-12,store_1,item_1,52,21.3,0,4,3
2021-03-13,store_1,item_1,44,21.3,0,5,3
2021-03-14,store_1,item_1,43,21.3,0,6,3
2021-03-15,store_1,item_1,52,21.3,0,0,3
2021-03-16,store_1,item_1,64,21.3,0,1,3
2021-03-17,store_1,item_1,66,21.3,0,2,3
2021-03-18,store_1,item_1,63,21.3,0,3,3
2021-03-19,store_1,item_1,52,21.3,0,4,3
2021-03-20,store_1,item_1,39,21.3,0,5,3
2021-03-21,store_1,item_1,49,21.3,0,6,3
2021-03-22,store_1,item_1,52,21.3,0,0,3
2021-03-23,store_1,item_1,62,21.3,0,1,3
2021-03-24,store_1,item_1,66,21.3,0,2,3
2021-03-25,store_1,item_1,65,21.3,0,3,3
2021-03-26,store_1,item_1,59,21.3,0,4,3
2021-03-27,store_1,item_1,46,21.3,0,5,3
2021-03-28,store_1,item_1,69,17.04,1,6,3
2021-03-29,store_1,item_1,56,21.3,0,0,3
2021-03-30,store_1,item_1,66,21.3,0,1,3
2021-03-31,store_1,item_1,64,21.3,0,2,3
2021-04-01,store_1,item_1,65,21.3,0,3,4
2021-04-02,store_1,item_1,51,21.3,0,4,4
2021-04-03,store_1,item_1,46,21.3,0,5,4
2021-04-04,store_1,item_1,48,21.3,0,6,4
2021-04-05,store_1,item_1,56,21.3,0,0,4
2021-04-06,store_1,item_1,66,21.3,0,1,4
2021-04-07,store_1,item_1,64,21.3,0,2,4
2021-04-08,store_1,item_1,58,21.3,0,3,4
2021-04-09,store_1,item_1,47,21.3,0,4,4
2021-04-10,store_1,item_1,45,21.3,0,5,4
2021-04-11,store_1,item_1,48,21.3,0,6,4
2021-04-12,store_1,item_1,83,17.04,1,0,4
2021-04-13,store_1,item_1,68,21.3,0,1,4
2021-04-14,store_1,item_1,65,21.3,0,2,4
2021-04-15,store_1,item_1,61,21.3,0,3,4
2021-04-16,store_1,item_1,46,21.3,0,4,4
2021-04-17,store_1,item_1,65,17.04,1,5,4
2021-04-18,store_1,item_1,48,21.3,0,6,4
2021-04-19,store_1,item_1,57,21.3,0,0,4
2021-04-20,store_1,item_1,62,21.3,0,1,4
2021-04-21,store_1,item_1,65,21.3,0,2,4
2021-04-22,store_1,item_1,54,21.3,0,3,4
2021-04-23,store_1,item_1,48,21.3,0,4,4
2021-04-24,store_1,item_1,46,21.3,0,5,4
2021-04-25,store_1,item_1,47,21.3,0,6,4
2021-04-26,store_1,item_1,55,21.3,0,0,4
2021-04-27,store_1,item_1,93,17.04,1,1,4
2021-04-28,store_1,item_1,64,21.3,0,2,4
2021-04-29,store_1,item_1,56,21.3,0,3,4
2021-04-30,store_1,item_1,51,21.3,0,4,4
2021-05-01,store_1,item_1,44,21.3,0,5,5
2021-05-02,store_1,item_1,46,21.3,0,6,5
2021-05-03,store_1,item_1,78,17.04,1,0,5
2021-05-04,store_1,item_1,55,21.3,0,1,5
2021-05-05,store_1,item_1,67,21.3,0,2,5
2021-05-06,store_1,item_1,56,21.3,0,3,5
2021-05-07,store_1,item_1,46,21.3,0,4,5
2021-05-08,store_1,item_1,44,21.3,0,5,5
2021-05-09,store_1,item_1,43,21.3,0,6,5
2021-05-10,store_1,item_1,56,21.3,0,0,5
2021-05-11,store_1,item_1,62,21.3,0,1,5
2021-05-12,store_1,item_1,64,21.3,0,2,5
2021-05-13,store_1,item_1,52,21.3,0,3,5
2021-05-14,store_1,item_1,51,21.3,0,4,5
2021-05-15,store_1,item_1,42,21.3,0,5,5
2021-05-16,store_1,item_1,42,21.3,0,6,5
2021-05-17,store_1,item_1,52,21.3,0,0,5
2021-05-18,store_1,item_1,54,21.3,0,1,5
2021-05-19,store_1,item_1,62,21.3,0,2,5
2021-05-20,store_1,item_1,52,21.3,0,3,5
2021-05-21,store_1,item_1,66,17.04,1,4,5
2021-05-22,store_1,item_1,36,21.3,0,5,5
2021-05-23,store_1,item_1,46,21.3,0,6,5
2021-05-24,store_1,item_1,48,21.3,0,0,5
2021-05-25,store_1,item_1,63,21.3,0,1,5
2021-05-26,store_1,item_1,58,21.3,0,2,5
2021-05-27,store_1,item_1,49,21.3,0,3,5
2021-05-28,store_1,item_1,42,21.3,0,4,5
2021-05-29,store_1,item_1,44,21.3,0,5,5
2021-05-30,store_1,item_1,41,21.3,0,6,5
2021-05-31,store_1,item_1,47,21.3,0,0,5
2021-06-01,store_1,item_1,57,21.3,0,1,6
2021-06-02,store_1,item_1,60,21.3,0,2,6
2021-06-03,store_1,item_1,56,21.3,0,3,6
2021-06-04,store_1,item_1,48,21.3,0,4,6
2021-06-05,store_1,item_1,38,21.3,0,5,6
2021-06-06,store_1,item_1,36,21.3,0,6,6
2021-06-07,store_1,item_1,47,21.3,0,0,6
2021-06-08,store_1,item_1,56,21.3,0,1,6
2021-06-09,store_1,item_1,54,21.3,0,2,6
2021-06-10,store_1,item_1,48,21.3,0,3,6
2021-06-11,store_1,item_1,44,21.3,0,4,6
2021-06-12,store_1,item_1,38,21.3,0,5,6
2021-06-13,store_1,item_1,39,21.3,0,6,6
2021-06-14,store_1,item_1,44,21.3,0,0,6
2021-06-15,store_1,item_1,79,17.04,1,1,6
2021-06-16,store_1,item_1,52,21.3,0,2,6
2021-06-17,store_1,item_1,77,17.04,1,3,6
2021-06-18,store_1,item_1,45,21.3,0,4,6
2021-06-19,store_1,item_1,31,21.3,0,5,6
2021-06-20,store_1,item_1,35,21.3,0,6,6
2021-06-21,store_1,item_1,40,21.3,0,0,6
2021-06-22,store_1,item_1,50,21.3,0,1,6
